學年度,學校代碼,學校名稱,縣市名稱,中文圖書收藏冊數(冊)-總類,中文圖書收藏冊數(冊)-哲學類,中文圖書收藏冊數(冊)-宗教類,中文圖書收藏冊數(冊)-科學類,中文圖書收藏冊數(冊)-應用科學類,中文圖書收藏冊數(冊)-社會科學類,中文圖書收藏冊數(冊)-史地類,中文圖書收藏冊數(冊)-語言文學類,中文圖書收藏冊數(冊)-藝術類,外文圖書收藏冊數(冊),期刊合訂本(未以圖書編目)(冊),線上資料庫(種),光碟及其他類型資料庫(種),電子期刊(種),電子書(種),視聽資料(件),圖書閱覽座位數(個),全年圖書(含視聽資料及其他館藏)借閱人次(人次),全年圖書(含視聽資料及其他館藏)借閱冊次(冊次),全年線上及光碟資料庫(含電子書及電子期刊)檢索(人次),報紙(種),中.日文期刊(種),西文期刊(種)
112,23,國立雲林科技大學,09 雲林縣,45388,20523,10268,24748,64711,60045,34201,63225,35941,97721,55073,285,0,41389,793430,15831,1500,63863,122398,2071131,8,1997,1210
112,24,國立屏東科技大學,13 屏東縣,13166,14909,8627,34080,96419,56046,25604,40808,20809,56016,70323,140,0,80082,1342494,11212,1136,25943,43903,1695630,1,85,13
112,25,國立臺北科技大學,30 臺北市,48754,15163,4271,39854,78192,39875,22519,38799,22804,92260,7691,268,0,49148,962963,7976,990,37932,55875,4112534,6,233,62
112,28,國立臺北藝術大學,30 臺北市,10064,5816,4679,3455,3788,14666,24568,47659,51102,69479,32996,185,0,13572,71531,36453,228,7841,21677,23371,0,150,68
112,29,國立臺灣藝術大學,01 新北市,30807,7820,3502,4004,15219,20550,21607,29875,78061,56267,11194,114,0,25082,83472,27610,500,14153,35163,565165,13,351,74
112,30,國立臺東大學,14 臺東縣,37024,17929,6257,24504,28013,100549,36959,114177,30405,43801,39961,173,16,27410,271686,13520,543,8935,27889,42527,10,473,14
112,31,國立宜蘭大學,02 宜蘭縣,21873,10622,6415,24621,69662,42489,24201,42026,16556,65520,0,115,4,17361,628376,13273,834,11414,25478,210994,11,490,72
112,32,國立聯合大學,05 苗栗縣,11192,13868,6237,29182,61843,43907,23629,44635,22651,53955,15547,77,8,16977,369726,8815,408,12723,22587,332227,10,428,67
112,33,國立虎尾科技大學,09 雲林縣,18217,9597,3427,26613,67115,25956,12745,35418,13696,47619,19724,142,0,37118,434412,6390,638,5411,32277,1458548,11,371,24
112,35,國立臺南藝術大學,11 臺南市,8747,5491,5466,1894,4875,15651,25817,18481,42098,94312,26340,127,4,33453,2005621,33443,288,19947,49252,182360,10,234,119
112,36,國立臺南大學,21 臺南市,45407,25603,12647,25236,30405,152947,40590,83141,39687,103526,29134,114,0,36681,642163,32961,556,18100,59234,271108,11,2997,1104
112,37,國立臺北教育大學,30 臺北市,46662,25947,8330,29879,29986,132956,41478,100948,36536,93691,20813,292,9,63885,1024447,25325,704,22243,65480,613566,6,408,72
112,39,國立臺中教育大學,19 臺中市,43935,22327,5929,25073,30236,78830,34721,85027,32003,103682,0,74,0,28693,419127,24958,435,24610,65369,448002,10,413,18
112,42,國立澎湖科技大學,16 澎湖縣,3960,13878,4796,26672,43156,35677,14195,37380,13101,27642,6740,66,1,69100,272510,13254,470,9203,30136,350958,10,1207,245
112,43,國立勤益科技大學,06 臺中市,10590,15405,5427,18942,67954,37184,26182,49746,15118,45827,0,112,5,85937,448058,16594,848,10263,21457,606074,8,873,93
112,44,國立體育大學,03 桃園市,3398,16866,2976,7514,30082,52037,10910,23090,10415,34272,13534,14,0,5391,17725,12083,240,3516,9421,83676,5,22,13
112,46,國立臺北護理健康大學,30 臺北市,28149,12032,3207,14038,43504,30798,12664,37853,12367,92144,0,92,0,43956,123063,37443,369,12871,29698,654132,6,132,25
112,47,國立高雄餐旅大學,50 高雄市,5751,12226,4118,5262,43925,27440,20331,42510,12770,24259,0,324,0,51594,335503,11909,652,22491,34683,556377,10,289,18
112,48,國立金門大學,71 金門縣,12611,9768,5409,9053,28689,43138,26271,31472,15235,39559,3735,49,16,14747,47921,1494,431,3729,9661,106108,6,258,7
112,49,國立臺灣體育運動大學,19 臺中市,7875,11608,3238,9744,29045,47320,13993,32914,18663,28622,11491,24,0,5546,54133,11531,310,3818,12073,89555,8,66,15
112,50,國立臺中科技大學,19 臺中市,34276,25399,6585,18630,67776,58564,32213,77910,25163,63214,27723,206,9,86407,844732,24357,1170,25072,50626,1459535,18,1120,52
112,51,國立臺北商業大學,30 臺北市,22522,13055,2267,16377,42474,41346,11043,38178,12215,41505,5075,78,0,54011,249024,3493,1061,10921,21586,2149102,7,221,5
112,52,國立屏東大學,13 屏東縣,49128,36914,13997,34065,60830,187236,48919,148659,46058,107120,16539,150,0,76755,379103,30871,1036,47247,141739,8129577,13,1950,504
112,53,國立高雄科技大學,50 高雄市,40293,36064,12803,74565,162575,127880,48791,131720,34707,171603,127166,412,14,51344,1347343,49574,2226,27661,75761,2282941,22,1987,145
112,144,國立臺灣戲曲學院,30 臺北市,3219,8313,2489,3609,10904,13084,10342,40158,21865,6094,0,50,12,6976,55171,12914,220,802,10419,35514,5,58,3
112,221,國立臺南護理專科學校,21 臺南市,3993,8339,1991,6458,22208,15115,10049,21292,5170,6024,5048,72,30,39921,12769,6688,159,4244,6049,181107,3,122,15
112,222,國立臺東專科學校,14 臺東縣,4089,6531,2064,8488,27739,10891,6761,19783,8165,3852,82,16,60,12088,8736,1518,320,878,2722,12017,4,95,0
112,1001,東海大學,19 臺中市,110197,56397,27689,25156,60230,144975,108877,144293,43666,290377,125007,226,5,122489,6541557,52222,1280,31976,90342,2730585,7,706,87
112,1002,輔仁大學,01 新北市,76067,48349,32133,30835,97544,158294,83756,139776,35655,421745,138069,520,3,71880,2906467,56979,2242,49151,132097,5133008,8,730,313
112,1003,東吳大學,30 臺北市,92926,30296,16428,15688,33489,150800,80439,126799,58502,331982,0,267,0,35830,1493958,45436,2165,45538,116108,3361112,10,644,101
112,1004,中原大學,03 桃園市,13362,36349,27631,58887,105254,112818,35937,108037,45504,249557,0,301,22,116564,1611491,36577,1354,42708,110880,4293761,7,421,70
112,1005,淡江大學,01 新北市,71046,52100,16859,52834,107401,181220,109239,190192,40249,510405,0,458,28,66040,2837239,71924,3021,34532,70805,466108,11,710,273
112,1006,中國文化大學,30 臺北市,127779,62429,24480,64166,105518,180515,140262,178287,79180,493487,0,376,0,68449,6964862,62983,1790,20202,76685,1528309,8,190,51
112,1007,逢甲大學,19 臺中市,44501,35562,13386,48061,142176,136777,66399,109443,35819,170546,87463,198,4,42831,1487467,37437,1159,45839,130261,2191621,8,410,15
112,1008,靜宜大學,06 臺中市,74557,42277,21279,37945,76050,121975,64883,164069,42279,230458,0,308,0,31841,1376180,47629,2206,30542,85986,1763191,17,2779,1532
112,1009,長庚大學,03 桃園市,16800,16999,2567,19703,62368,45663,18662,42389,13820,184368,0,237,7,138175,366957,31977,1355,20882,65379,4525296,14,158,35
